hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_PriPro_no_bin_no_proof,CaDiCaL_PriPro_no_proof,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,clasp_336_HC_no_proof,clasp_336_HC_no_proof_crafty,clasp_336_HC_no_proof_frumpy,clasp_336_HC_no_proof_handy,clasp_336_HC_no_proof_jumpy,clasp_336_HC_no_proof_many,clasp_336_HC_no_proof_trendy,clasp_336_HC_no_proof_tweety,CleanMaple,CleanMaple_no_proof,CleanMaple_PriPro,CleanMaple_PriPro_no_proof,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,MergeSat,MergeSat_nosimp,MergeSat_unsat,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
2285ff99f985f8f926d5159299cc8787,73.smt2.cnf.xz,348.228,315.263,310.725,317.54,314.05,367.39,433.805,654.655,391.857,772.527,357.972,2105.24,2353.12,timeout,952.548,3079.8,2084.9,2108.78,842.924,timeout,timeout,4574.67,4571.48,320.553,310.383,373.632,460.648,153.464,304.3,334.171,573.115,1464.29,468.839,356.917,139.517,175.824,149.373,375.729,368.007,472.564,327.835,324.059,365.632,889.205,failed,failed,failed,656.693,928.899,251.92,310.125,344.321,443.761,693.126,371.557,324.52,442.522,255.46,414.027,313.528,373.203
22ede342b1973bf82c2c2106616cc8d9,at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,478.875,344.642,336.682,321.076,317.267,413.325,332.731,305.966,207.068,480.971,443.073,432.891,1211.98,341.095,413.498,564.489,422.433,435.102,667.326,1604.63,1596.63,2572.13,2570.31,184.259,366.979,448,350.939,270.877,232.785,140.885,557.415,327.118,468.814,197.048,105.574,199.99,92.4478,167.048,280.678,288.351,247.424,246.951,117.506,385.637,189.19,192.543,192.58,137.539,135.961,220.99,236.142,264.581,351.552,304.586,275.303,429.33,261.773,295.585,309.256,296.398,302.901
25ba6d2b7503d699ee95bf4bcd0864c5,quad_res_r37_m39.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
25cc054738293c0d9377d7b72b78a341,string_compare_safety_cbmc_unwinding_900.cnf.xz,1449.77,1748.4,1749.5,1845.77,1725.92,1492.19,1300.29,1399.24,1745.08,1380.61,1412.51,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2928.51,1365.69,1214.42,1557.19,1919.78,1574.34,1351.44,1753.69,1756.74,1410.95,1773.85,1979.03,2542.52,2744.03,2932.53,4089.39,3996.02,4883.72,4530.08,3562.98,3861.96,failed,failed,failed,3904.21,3404.1,timeout,4653.33,4136.18,4713.8,timeout,timeout,3876.31,timeout,timeout,4527.07,timeout,timeout
25cfa39c61494e9e793f6c6a9ec44be3,puzzle51_unsat.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,failed,failed,failed,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
263457bc6aafa3b1f5999bc2ddfe3caf,ktf_TF-4.tf_2_0.02_18.cnf.xz,45.5515,48.3803,48.1701,46.5986,46.2166,42.5707,54.8042,42.9554,65.0737,56.5883,46.6565,128.191,71.2625,95.7315,488.406,73.5665,128.219,118.271,99.8032,386.422,387.905,312.502,311.704,95.0065,90.4193,42.7994,49.8209,55.4543,46.7524,42.5495,51.8363,51.6451,49.8624,53.2668,62.6568,87.0332,64.801,55.399,61.4043,64.9077,73.804,76.5053,61.2369,48.5583,failed,failed,failed,56.5963,65.685,56.6672,48.6478,78.961,81.1734,82.2307,53.656,71.7709,62.6792,58.0994,57.9313,56.074,61.696
273d42b3d97294b660745c7bc632474e,edit_distance025_450.cnf.xz,1191.15,3360.47,3362.39,3312.76,3320.68,4255.14,3781.34,4090.94,3925.93,1176.32,4694.25,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,1319.93,timeout,timeout,timeout,timeout,1594.27,499.177,timeout,513.008,428.834,1691.66,1839.47,591.641,594.567,714.462,timeout,timeout,timeout,timeout,timeout,timeout,3397.35,2814.02,818.788,394.882,2367.78,1686.05,725.57,405.125,1392.19,748.497,2497.08,505.026
28aeefb8abe1d29211552650e14e7579,bv-term-small-rw_1294.smt2.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
2925ee90763e08b2f7e79c7c713c86b9,at-least-two-ibm-2004-23-k100.cnf.xz,226.365,612.418,619.158,613.259,605.417,182.913,647.181,191.55,304.951,704.107,740.019,1711.61,1152.95,timeout,1066.64,1218.13,1703.14,1709.52,1717.62,2132.29,1852.54,1150.76,1143.83,217.429,207.103,820.98,315.062,1317.33,261.682,702.895,255.942,305.688,190.019,218.993,435.215,347.992,236.06,230.527,332.392,198.005,213.184,216.897,181.868,297.079,failed,failed,failed,182.696,217.495,361.55,397.896,158.992,366.876,228.416,339.233,404.121,272.839,339,452.929,263.502,296.155
29b7d5a498eff7a98fcd03a273eaeba3,Kakuro-easy-132-ext.xml.hg_8.cnf.xz,4631.78,1298.6,1301.95,1292.04,1283.06,1269.87,1446.12,1414.66,2864.72,1725.19,1370.66,timeout,2347.93,1517.73,3700.93,timeout,timeout,timeout,701.64,4266.16,4258.37,timeout,timeout,2145.88,1443.91,timeout,659.782,timeout,640.947,timeout,906.003,428.808,427.288,425.91,775.78,1148.73,775.376,609.048,1491.62,1207.27,867.655,851.568,540.342,1118.42,921.079,967.12,timeout,1068.59,555.661,1666.38,1040.31,2473.86,1414.52,2775.1,346.884,1033.74,483.384,1073.81,2066.64,1227.33,793.881
