hash,filename,mergehordesat,mallobhc,mallob,slime,pmcompspsmpi,pmcomspscommpi,paracooba
7adc1ade3384505af00ff8f7be23f5bd,ex175_20.cnf.xz,memout,52.76,142.00,448.83,memout,memout,522.46
7c701181500b379f02aa3e050d6f5144,MVD_ADS_S6_6_6.cnf.xz,11.16,56.59,4.22,884.82,timeout,timeout,1.69
7df8389c5b329a2e118a50a94c254e7d,blocks-blocks-36-0.180-SAT.cnf.xz,memout,timeout,31.82,238.56,55.62,memout,233.19
7e36c51e4ba07b5d291864732d105a36,Mycielski-10-hints-9.cnf.xz,765.07,16.54,timeout,memout,3478.01,timeout,memout
7eb9c20f8abef093eeb2bcd69e709b95,string_compare_safety_cbmc_unwinding_600.cnf.xz,memout,11.21,119.28,timeout,memout,memout,memout
7ecf9c45c29d706fd0020fbf177e6809,Mycielski-10-hints-10.cnf.xz,65.44,timeout,17.77,71.00,82.25,90.22,101.44
7efdf72de31fa82aeceb7acbc29a59bf,vlsat2_113_1150.cnf.xz,25.01,timeout,3.08,10.01,15.60,50.65,50.62
7f3b49026cf0ec9d2d76b0d9b2c61f8e,HCP-424-60.cnf.xz,573.20,5.11,62.97,235.42,620.02,594.77,187.83
81392be4e5fc7aa2232c1f460321e0c6,string_compare_safety_cbmc_unwinding_680.cnf.xz,memout,32.83,144.72,timeout,memout,memout,memout
8175dacde2d6517a91c1912847a34006,IBM_FV_2004_rule_batch_30_SAT_dat.k75.cnf.xz,144.05,32.18,48.51,36.67,60.62,79.60,225.38
81bced94e5f672f0bb0bab7dd298d11c,toughsat_factoring_895s.cnf.xz,81.33,10.33,4.50,18.41,4.40,4.64,24.19
8226a866770c4e3da127e54ca0dbd496,SC21_Timetable_C_466_E_62_Cl_31_S_30.cnf.xz,501.23,134.24,timeout,127.95,464.79,453.08,memout
82468689404a6a420a2947500c7c4787,Circuit_multiplier36.cnf.xz,222.91,46.64,118.02,562.21,126.55,427.04,memout
82c08db7bcd7fabf2b08e8f10937af3e,bvsmod_18.smt2.cnf.xz,timeout,39.02,145.07,timeout,timeout,timeout,memout
82cad197a0b7919f1f51ec51f7267e6f,ex095_8.cnf.xz,memout,93.37,447.55,timeout,memout,memout,timeout
8390dca257561c53bf4eb6e158a2285f,mp1-klieber2017s-0490-024-t12.cnf.xz,40.22,27.75,6.69,13.35,18.59,7.35,79.50
85088d2b8de94d088631498f619c1bd6,sum_of_3_cubes_52_bits_39.cnf.xz,timeout,timeout,memout,timeout,timeout,timeout,timeout
85ba26d796de9ad740ce5a6813488fbc,sted2_0x1e3-216.cnf.xz,102.42,124.82,39.16,47.10,202.37,75.03,memout
86173292a2c6a506acf27a81db853bb5,ktf_TF-7.tf_3_0.06_113.cnf.xz,56.79,2.15,5.14,8.18,15.83,19.10,13.46
86f1d4b3e7609f8a9ce8ac2a0a7aaa96,size_5_5_5_i223_r12.cnf.xz,80.85,15.91,45.21,50.63,206.72,201.69,54.71
872d022f6406e00933b831ffd05e26a0,b2005-p4-12x12c10h7-Ser3-0.cnf.xz,timeout,8.31,memout,timeout,timeout,timeout,timeout
