hash,filename,mergehordesat,mallobhc,mallob,slime,pmcompspsmpi,pmcomspscommpi,paracooba
c1c25b65adbd9fdde56cd489ab557e71,spg_300_312.cnf.xz,108.06,60.77,76.89,56.45,92.71,104.31,494.58
c3d8096db125f4bade48cfd0dcf441f3,SE_PR_stb_531_83.apx_1.cnf.xz,64.41,17.44,2.89,1.21,97.35,4.76,36.61
c401fc09cf0d3fb666cd80dd38f9757d,Mycielski-11-hints-1.cnf.xz,289.71,184.87,74.91,416.98,541.82,529.18,491.69
c41c74f316a2067cc19708ce982d960a,WS_400_16_90_70.apx_0.cnf.xz,112.18,timeout,8.31,150.14,57.87,59.08,memout
c502ef60c01f7ce1f3fb241b08253e81,barman-pfile10-039.sas.ex.15.cnf.xz,130.91,13.62,24.40,memout,timeout,timeout,96.85
c50dd1b0f41a1adcdfed8d663add9428,20-100-lambda100-65_sat.cnf.xz,58.83,17.77,15.35,79.43,57.06,54.03,memout
c52ad9f8fec393a1f4b421aa14af75d3,at-least-two-vmpc_26.cnf.xz,78.90,6.91,17.70,130.15,34.83,37.42,1272.11
c5905895a64fbbfb8a60b18bf77b7054,puzzle60_sat.cnf.xz,timeout,63.79,memout,timeout,timeout,timeout,memout
c5ae0ec49de0959cd14431ce851c14f8,Circuit_multiplier22.cnf.xz,40.12,2.29,8.30,46.68,21.13,39.26,4.72
c689bbf889022255138ab00f59a545b1,b2005-p5-14x14c17h9-Ser5-0.cnf.xz,memout,22.74,timeout,timeout,memout,memout,memout
c79f5efa4fdcf594b4169106d04b3e86,LABS_n069_goal001.cnf.xz,1568.86,35.77,memout,memout,1202.44,1288.85,1208.72
c7a473fd916048e8d98f012294074328,edit_distance023_283.cnf.xz,552.07,35.57,45.53,191.06,230.77,146.69,memout
c7cd1be9f812c99e94827cb361d693fc,b2005-p1-14x14c17h9-Ser3-0.cnf.xz,memout,timeout,timeout,memout,memout,memout,memout
c879ee8f60ca65a013da7774277e489e,randomG-n19-d05.cnf.xz,timeout,timeout,2.28,timeout,timeout,timeout,timeout
c8cff3ad0f176e153b5073725fed1bd1,ndhf_xits_09_UNSAT.cnf.xz,1189.14,13.53,111.57,timeout,639.98,533.61,memout
c9aeaebe08aa8abf73a800decfbc01b3,ctl_4291_567_1_unsat.cnf.xz,496.62,4.34,27.74,1164.49,188.31,174.59,memout
cab122ecb0ca8f09d0e53eb81ac4bcf9,erin2_0x0_n207-379.cnf.xz,210.54,timeout,25.21,77.69,28.52,185.02,194.34
cac3197a79f7b0166f8a22367b86c02a,sp5-21-15-una-nons-tree-noid.cnf.xz,36.76,5.71,6.53,19.25,2.81,3.98,96.41
cc4ca544efe70ed7942a110b7e89dfd5,HCP-526-420.cnf.xz,195.97,332.38,memout,97.11,294.53,timeout,memout
cc5c7c695cbb6f78c1af80b3e5471db3,ak016modbtsimpbisc.cnf.xz,128.28,12.59,35.18,memout,85.12,91.98,memout
cc813d033d2b735cf872a7568eacda24,ecarev-110-1031-23-40-8.cnf.xz,1131.15,1.27,257.14,292.18,651.50,584.25,437.23
cd60db7535dddb69068778af69e6a267,edit_distance035_393.cnf.xz,362.33,26.75,164.78,368.01,919.26,389.83,234.69
cdf559a186b55457ce49516ec323e907,at-least-two-traffic_kkb_unknown.cnf.xz,133.71,11.96,23.02,memout,92.27,memout,251.12
ceed053b7c2e91dd761169faba1a5193,puzzle35_unsat.cnf.xz,413.03,33.16,39.77,157.23,timeout,867.30,memout
cf5f4eb714cab56ce430af77d26e1a6e,MVD_ADS_S10_5_6.cnf.xz,9.42,91.11,2.00,322.29,timeout,timeout,0.67
cfc5b08fa24149afb9a67426dbe871e9,WS_500_32_30_10.apx_0.cnf.xz,217.80,timeout,15.52,467.78,104.32,111.10,memout
d0c760534508b543718285a3faad7ba9,Circuit_multiplier35.cnf.xz,234.09,19.32,5.70,65.61,57.53,23.84,5.78
d21b66364fecc9fc7aabbbb981274612,HCP-526-105.cnf.xz,99.61,132.04,91.32,86.90,330.62,394.08,59.49
d2528d707d36e76d0230ed6918c97345,sted5_0x1e3-120.cnf.xz,154.75,6.91,14.31,35.33,38.15,26.77,164.87
d2ec1de194269f98dff6608ff097d031,vlsat2_111_1186.cnf.xz,21.47,45.77,2.38,7.38,21.25,15.16,43.13
d328c11941d27fcabc1688663bdc64ea,erin2_0x1e3-216.cnf.xz,733.81,18.77,178.88,141.25,432.87,881.36,memout
d32d87afa368dcdcc2dfef18573e39f4,E02F17.cnf.xz,33.82,29.85,7.13,29.23,18.50,21.03,28.10
d42c9f674dcabd62a43c0d4b9b495c2a,sted1_0x0-380.cnf.xz,timeout,138.88,timeout,timeout,timeout,timeout,memout
d4a914e3e257179e39ec493a7d7b1140,ktf_TF-4.tf_4_0.06_52.cnf.xz,107.19,64.58,52.16,111.71,227.60,194.58,memout
d5325d628ea6ed001c5a99971b58deae,uum32.smt2.cnf.xz,timeout,29.87,timeout,memout,timeout,timeout,timeout
d5453d6d31f33a310ce34ee4bcfcbe50,prime_a24_b24.cnf.xz,29.55,18.84,6.73,258.03,10.24,106.18,160.54
d646d69fe2f66663f380a6d742bbb38a,string_compare_safety_cbmc_unwinding_800.cnf.xz,memout,210.93,181.22,memout,memout,memout,memout
d765837689ffb1173943095f2fc42b96,Kakuro-easy-045-ext.xml.hg_4.cnf.xz,timeout,timeout,memout,timeout,timeout,timeout,memout
d7b38c8ead74ae705aa60b8771debda1,maxor128.cnf.xz,1013.17,2.37,177.35,timeout,timeout,timeout,timeout
