hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
e7a91a4b4ffd37f0ec2d6f5b5b53a77b,combined-crypto1-wff-seed-4-wffvars-450-cryptocplx-40-overlap-2.cnf.xz,4325.67,16.982,16.8982,67.5417,3401.21,2835.97,662.671,timeout,timeout,timeout,timeout,22.6667,108.432,timeout,498.508,84.4605,92.7184,83.8847,51.5214,224.61,22.4552,152.215,249.482,823.355,215.355,70.3003,171.372,177.907,317.416,435.436,762.098,timeout,775.623,757.517,777.703,765.935,124.757,154.731,293.904,256.079,1073.39,1011.38,460.818,368.864,179.314,169.635
ea2ec2f8a4bfb6ba735eff25f96480d0,combined-crypto1-wff-seed-104-wffvars-500-cryptocplx-31-overlap-2.cnf.xz,2407.11,1848.92,1959.42,85.971,timeout,timeout,519.771,582.178,1650.96,timeout,timeout,146.842,timeout,timeout,148.627,1944.71,567.102,630.512,269.344,3.69228,152.44,218.648,359.939,1050.48,2698.89,333.285,99.458,85.3887,107.525,103.187,706.611,timeout,718.823,709.993,96.2423,2338.15,126.463,135.853,136.253,215.286,7.76535,802.588,200.25,177.791,128.516,1488.17
ea675286ae5f4a5a7c4baf4e43e778a8,arcfour_initialPermutation_6_64.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
eb2027e82b2a34be67dbdb7264fa7ddc,sha256__zeroOut_10__freeIn_14__seed_1.cnf.xz,2616.2,1808.12,1811.58,2297.08,2300.37,2328.32,2942.12,2526.81,2530.65,4002.84,3019.5,1923.21,timeout,2642.74,timeout,timeout,3423.68,timeout,timeout,timeout,timeout,3532.28,timeout,timeout,timeout,1819.99,658.933,557.731,727.034,731.233,473.14,834.709,1484.04,674.61,2764.81,2664.49,585.499,582.06,808.149,1126.24,685.155,759.296,642.797,572.296,682.16,516.042
eba7f569a9faed0b8e88ce3d6fa576f7,cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf.xz,247.02,65.2756,64.1136,192.488,239.661,195.547,237.961,1273.94,223.112,1106.61,1944.34,54.0437,63.3185,1313.4,105.835,1286.82,184.947,timeout,38.6023,58.8882,114.628,89.3581,53.5869,27.2319,24.3173,63.1866,141.213,65.6758,323.04,320.59,59.2203,165.141,87.3286,52.735,52.4057,53.6849,114.433,128.677,107.381,182.773,117.279,72.0865,154.263,48.6043,85.3453,88.997
ee4031b9933ee8c8c65822d0d2e27f33,arcfour_initialPermutation_6_40.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ef966d22ce1fc1c33fcfcd1142646ac5,slp-synthesis-aes-bottom33.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
f2506f6c86897728140d6ac44b4abc85,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_679012869.cnf.xz,timeout,2958.01,2968.1,4019.88,timeout,timeout,4198.5,timeout,timeout,timeout,timeout,timeout,4460.27,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4599.61,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4363.73,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4085.57
f32df1fbeb872acd40a61c008abfb470,vmpc_33.cnf.xz,timeout,178.543,178.566,timeout,timeout,1825.28,timeout,timeout,timeout,timeout,916.492,408.385,timeout,timeout,1419.59,641.808,timeout,1551.82,timeout,timeout,timeout,timeout,788.743,1797.95,795.397,928.254,324.548,287.73,1145.84,1152.41,629.038,253.556,631.188,243.286,timeout,3954.08,167.551,3252.37,354.531,714.816,144.197,timeout,3328.66,889.273,936.738,1653.26
f42d3b2739adeb8817988487af05ce53,satcoin-genesis-SAT-2048.cnf.xz,167.438,252.174,253.657,181.097,238.801,152.215,218.3,238.338,223.703,timeout,timeout,1100.42,199.539,43.5097,timeout,timeout,timeout,timeout,894.446,1136.38,timeout,timeout,timeout,timeout,timeout,143.149,223.537,timeout,195.798,195.613,timeout,2533.01,1233.27,timeout,37.9388,468.311,102.481,130.852,120.854,637.14,97.565,timeout,139.508,242.799,289.349,255.228
